EAN,Descricao,Validade,Status,Setor,DataCadastro
7892828001016,Adeforte 1 ampola,2027-07,ativo,GERAL,2026-02-21
7898665434123,Vita D3 vitafor 10ml,2027-09,ativo,GERAL,2026-02-21
7898665434123,Vita D3 vitafor 10ml,2027-09,ativo,GERAL,2026-02-21
7891317029920,Maq premium 30cp,2026-05,ativo,GERAL,2026-02-21
7898430194559,Tentantes 30+30cp,2026-04,ativo,GERAL,2026-02-21
7891317029920,Maq premium 30cp,2025-05,ativo,GERAL,2026-02-21
7891317029920,Maq premium 30cp,2026-05,ativo,GERAL,2026-02-21
7898665434123,Vita D3 10ml Vitafor,2027-09,ativo,MARCOS,2026-02-21
7892828001016,Adeforte 1amp,2027-07,ativo,MARCOS,2026-02-21
7891317144142,Aide 3 20ml,2027-08,ativo,MARCOS,2026-02-21
7891010970888,Nicorette 4mg 30,2027-05,ativo,MARCOS,2026-02-21
7891010970871,Nicorette 2mg 30,2027-02,ativo,MARCOS,2026-02-21
7891317025984,ALTA D 2.000UI 30CPS,2027-11,ativo,MARCOS,2026-02-21
7896112402343,Doss 2.000ui 30cps,2027-01,ativo,MARCOS,2026-02-21
7898430194696,DPREV TODO DIA 1.000UI GTS 10ML FRUTAS,2027-11,ativo,MARCOS,2026-02-21
7898430194320,DPREV TODO DIA 600UI 5ML FRUTAS,2027-09,ativo,MARCOS,2026-02-21
7899420508615,BARIAT XR CALCIO 60CP,2027-07,ativo,MARCOS,2026-02-21
7891317022532,PROSSO D+ KM 2.000UI 30CP,2027-12,ativo,MARCOS,2026-02-21
7891317029838,PROSSO 30CP,2027-07,ativo,MARCOS,2026-02-21
7896637030823,VELUS MAG 30CP,2027-02,ativo,MARCOS,2026-02-21
7891317046200,PROSSO MUSCULAR PO 30ENV,2027-09,ativo,MARCOS,2026-02-21
0042882378259,CALCIO 500 FORTLIFE 60CP,2027-12,ativo,MARCOS,2026-02-21
7891317031398,PROSSO KM 30 TABLETES MASTIG,2027-03,ativo,MARCOS,2026-02-21
7891317022525,PROSSO D+ KM 1.000UI 30CP,2027-08,ativo,MARCOS,2026-02-21
7891317010898,MTOR 1GR 90CP,2027-12,ativo,MARCOS,2026-02-21
7898661010734,BIO CALCIO PURAVIDA 60CPS,2027-02,ativo,MARCOS,2026-02-21
7898430192012,DPREV CALCIO 60CP,2027-06,ativo,MARCOS,2026-02-21
7898430194085,DPREV CALCIO 30CP,2027-04,ativo,MARCOS,2026-02-21
7898430194092,DPREV CALCIO 2.000UI 30CP,2027-07,ativo,MARCOS,2026-02-21
.7896637035965,Verical 60cp,2026-08,ativo,MARCOS,2026-02-21
7899824401710,OSSONE MAX 60CP,2027-06,ativo,MARCOS,2026-02-21
7899420501456,VIVOSSO PRO 60CP,2027-04,ativo,MARCOS,2026-02-21
7899420508127,VIVOSSO 30CP,2028-09,ativo,MARCOS,2026-02-21
