EAN;DESCRICAO
7896070600126;"AMPLICTIL 100MG 20CP (C1)"
7898581711209;"7896070600126"
7896070600034;"AMPLICTIL 25MG 20CP (C1)"
7898581711193;"7896070600034"
7896070600201;"AMPLICTIL GOTAS 40MG/ML 20ML (C1)"
7898581711186;"7896070600201"
7896658000379;"FAMOX 20MG 10CP"
7896658000393;"FAMOX 40MG 10CP"
8880003339671;"7896658000393"
8880003344224;"8880003339671"
7897322714264;"AMPLIUM G 30MG+20MG/G 80GR CR VAG"
8880003344637;"7897322714264"
7891268144086;"FELDENE 20MG 10CPS"
7891268144024;"FELDENE 20MG 15CPS"
7891268104028;"FELDENE 20MG 10CP SL"
7896006201588;"FEMIANE 21DRG *UNIAO COM VOCE*"
7896658002571;"FEMINA 150MCG+20MCG 21CP"
7896658006401;"7896658002571"
7896112122494;"FENAFLAN D 50MG 20CP"
3804587000000;"FENERGAN 1AMP 2ML (25) D"
7896070600447;"FENERGAN 25MG 20CP"
7896658007309;"FENTIZOL 600MG OVULO + APL"
7896658005091;"FENTIZOL CR VAG 2% 40GR + APL *C.P.VIDA*"
7896023700101;"FIGATIL 41,67MG+69,44MG 20DRG"
7896023700118;"FIGATIL LIQ 150ML"
7898508880230;"GRAMPEADOR WINNER"
7896094203075;"FINALOP 1MG 30CP"
7891058021740;"ANADOR 500MG 4CP (60)"
8880003346198;"7891058021740"
7891010038892;"FIO DEN J&J REACH EXPANSION PLUS 50MT"
7891010038915;"FIO DEN J&J REACH EXTRA FINO 50MT"
7891010038908;"FIO DEN J&J REACH MENTA 50MT"
7800005183202;"FIO DEN ORAL-B ESSENTIAL FLOSS CERA 50MT"
7800005064020;"FIO DEN ORAL-B SUPER FLOSS 50UN"
7897595635082;"ANAFRANIL 25MG 20DRG (C1)"
7891010038953;"FITA DEN J&J REACH 50MT"
7896261001480;"ANAFRANIL SR 75MG 20CP (C1)"
7891800662139;"27891800662133"
7896658033049;"FLAGASS 40MG 20CP"
7896658004018;"FLAGASS 75MG GTS 10ML LARANJA"
7896658033094;"7896658004018"
7896070600607;"FLAGYL 250MG 20CP (AM)"
7896070600799;"FLAGYL 400MG 24CP (AM)"
7896070600911;"FLAGYL GEL VAG 50GR+10APL (AM)"
7891106006491;"FLANAX 275MG 20CP"
7896226502793;"7891106006491"
7891106006507;"FLANAX 550MG 10CP"
7896269900808;"FLIXOTIDE 250MCG SPR 60 DOSES"
7896658002892;"FLOGO-ROSA 50MG/ML SOL VAG 100ML"
7896658003615;"7896658002892"
7896658005336;"FLOGO-ROSA 53,2MG/G PO 10 ENV 9,4GR"
7896658006753;"FLOGORAL COLUTORIO LARANJA 150ML"
7896202901916;"FLOGORAL PAST 3MG 12UN CEREJA"
7896658005466;"7896202901916"
7896658005442;"FLOGORAL PAST 3MG 12UN LARANJA"
7896658005459;"FLOGORAL PAST 3MG 12UN MENTA"
7898040329570;"FLORATIL 200MG 4 ENVELOPES 1GR"
7898040329587;"FLORATIL 200MG 6 ENVELOPES 1GR"
7896261005822;"FLOTAC 70MG 14CPS"
7896261003705;"FLOTAC 70MG 20CPS"
7896658005190;"ANDANTOL 7,5MG/G GEL 40GR D"
7896672203954;"FLUIBRON 7,5MG/ML GTS 50ML"
7896672201523;"FLUIBRON-A 7,5MG/ML 10FLAC 2ML"
7891317013967;"ANDOLBA 45MG+5MG+5MG AER 43GR"
7898074616073;"FLUIMUCIL 10% 1AMP 3ML (5)"
7898074617612;"FLUIMUCIL 600MG 16CP EFERV"
7898074617322;"FLUIMUCIL D 600MG 16ENV"
7896006214007;"ANDRIODERMOL LOC 50ML"
7891142156020;"FLUIR 12MCG 30CPS EM PO + INALADOR"
7891142156211;"FLUIR REFIL 12MCG 30CPS EM PO"
7891142156235;"FLUIR REFIL 12MCG 60CPS EM PO"
7891106915915;"ANDROCUR 50MG 20CP"
7896269900945;"FLUTIVATE 0,5MG/G CR DERM 15GR"
7891317000370;"FLUXENE 20MG 28CPS (C1)"
7891317489533;"7891317000370"
7896317900712;"FOLACIN 10MCG/GOTA 30ML"
7896317906165;"7896317900712"
7899824401017;"7896317906165"
7896006298625;"FOLDAN 50MG/G POM DERM 45GR"
7899824400737;"FOLIFER 150MG+5MG 30CP"
7899824400775;"FOLIFER 30MG+0,2MG/ML 30ML GOTAS"
7000912153016;"FORMULA DE MANIPULACAO 01"
7891317007256;"ANGINO RUB 3MG MEL/LIMAO 16PASTILHAS"
7891317031565;"7891317007256"
7897316806777;"FRESH TEARS SOL OFT 15ML *VIVER + ALLERGAN*"
7891058325039;"FRISIUM 10MG 20CP (B1)"
7898216367993;"7891058325039"
7891058326005;"FRISIUM 20MG 20CP (B1)"
7898216368013;"7891058326005"
7897679601002;"FUNCHICOREA 95,15MG/G PO 3GR"
7897460401347;"GABALLON 20CP"
8880003341254;"7897460401347"
8880003344187;"8880003341254"
7896083402557;"GAMALINE V 900MG 30CPS HERBARIUM"
7891142153456;"ZZ-GARASONE COLIRIO 10ML (AM)"
7896070600669;"GARDENAL 100MG 20CP (C1)"
7898216368037;"7896070600669"
7896070600881;"GARDENAL 50MG 20CP (C1)"
7898216368044;"7896070600881"
7896070601932;"GARDENAL PED 40MG/ML GTS 20ML (C1)"
7898216368051;"7896070601932"
7896775344905;"GARROTE 200/2001 1MT (15)"
7898538970413;"7896775344905"
7898950465016;"7898538970413"
7896622300443;"GASTROL 20PAST"
7896622300450;"GASTROL 250ML"
7896094200234;"ANSITEC 10MG 20CP (C1)"
7896094200227;"ANSITEC 5MG 20CP (C1)"
7891350034950;"GEL FIX N.Y LOOKS AZUL 4 MEGA FORTE 240GR"
7891350034929;"GEL FIX N.Y INCOLOR 240GR"
4005808189625;"SAB GEL NIVEA EFEITO MATTE PELE MISTA A OLEOSA 150ML"
7896004817460;"GELMAX 24CP MASTIGAVEIS"
7896004802473;"GELMAX GEL HORTELA 240ML"
7896094901582;"GELOL 20GR"
7896094901612;"GELOL AEROSSOL 60ML"
7898560666926;"GEODON 40MG 30CP (C1)"
7908236800759;"7898560666926"
7908236800766;"GEODON 80MG 30CPS (C1)"
7896004717999;"GEROVITAL 60CPS"
7891010010546;"ABS INTERNO OB MEDIO LV10 PG8"
7891010886547;"7891010010546"
7898040320584;"GINESSE 21CP"
7897460401255;"GINKOBA 80MG 30CP"
7891106916059;"GINO-CANESTEN 500MG 1CP VAG + 1APLIC"
7891106001762;"GINO-CANESTEN 10MG/G CR VAG 35GR + 6APLIC"
7891106003230;"GINO-CANESTEN 3 20MG/G CR VAG 20GR + 3APLIC"
7891106913447;"7891106003230"
7896548114124;"GLAUTIMOL 5MG/ML 5ML"
7896902217614;"GLICERINA 100ML FARMAX"
7896902217621;"7896902217614"
7891721044137;"GLIFAGE 1GR 30CP"
7891721000614;"GLIFAGE 500MG 30CP"
7891721027437;"GLIFAGE 850MG 30CP"
8880003339688;"7891721027437"
7896658001765;"ANTUX 30MG/ML 20ML GOTAS MEL LIMAO"
8880003339626;"7896658001765"
8880003346204;"8880003339626"
7896658001789;"ANTUX 6MG/ML 120ML XPE CEREJA"
7896026130004;"GOTAS BINELLI 30MG/ML 10ML"
7897337716239;"GRACIAL 22CP"
7891653010118;"TINT GRECIN 2000 LOC HOMEM 120ML"
7891653011122;"TONALIZANTE SH GRECIN 5 CASTANHO 60ML"
7891653011115;"TONALIZANTE SH GRECIN 5 CASTANHO CLARO 60ML"
7891653011139;"TONALIZANTE SH GRECIN 5 CASTANHO ESCURO 60ML"
7891653011146;"TONALIZANTE SH GRECIN 5 PRETO 60ML"
7896255702218;"GYNO IRUXOL POM 30G + APLIC (AM)"
7891106910163;"GYNO-ICADEN 100MG/G CR VAG 40GR + 7 APLICADORES"
7898040320027;"GYNOMAX 100MG+150MG/5G CR VAG 35GR + 7 APLICADORES"
7896046704322;"HAIR SPRAY CHARMING NORMAL 400ML"
7893300521084;"HAIR SPRAY KARINA NORMAL 400ML"
7893300521022;"HAIR SPRAY KARINA 250ML"
7896212479054;"HALDOL 1MG 20CP (C1)"
7896212479603;"HALDOL 5MG 20CP (C1)"
0000078938847;"BALA HALLS MORANGO 10UN"
7895800432020;"0000078938847"
0000078938861;"BALA HALLS UVA VERDE 10UN"
7622210854896;"0000078938861"
7896013521983;"HENE GEL FORTE PELUCIA C/ BABOSA 180GR"
7896013521976;"HENE GEL MEDIO PELUCIA C/ BABOSA 180GR D"
7894650125014;"APAR RAID PROTECTOR 12H PASTILHAS + 4 REFIS"
7896331707144;"HEPATILON HERTZ XPE 0,67ML 150ML"
7896094928053;"HEXOMEDINE 1MG+0,5MG/ML SPRAY COL 50ML"
8880003339695;"7896094928053"
7896004700502;"APEVITIN BC 4MG 240ML XPE"
7891010010577;"ABS OB PRO CONFORT SUPER 10UN"
7898919412334;"LOC HIDR MONANGE FRUTAS VERMELHAS 200ML"
7898919412327;"LOC HIDR MONANGE FLOR DE LAVANDA 200ML"
7898919412341;"LOC HIDR MONANGE IOGURTE COM AVEIA 200ML"
7897058800552;"CR NUTRIDERMINA ATALAIA 240GR"
0000078907850;"LOC HIDR PAIXAO INSPIRADORA 200ML"
0000078914957;"LOC HIDR PAIXAO IRRESISTIVEL 200ML"
7896094928084;"HIDANTAL 100MG 25CP (C1)"
7896658006395;"HIDROCIN SOL NASAL 20ML (AM)"
7897411601505;"HIRUDOID 300MG GEL 40GR"
7897411601529;"HIRUDOID 300MG POM 40GR"
7897411601543;"HIRUDOID 500MG GEL 40GR"
7897411601567;"HIRUDOID 500MG POM 40GR"
7896006220831;"HISTADIN 10MG 12CP"
7896006246541;"7896006220831"
7896006247746;"HISTADIN 1MG 100ML"
7896714219301;"HISTAMIN 2MG 20CP"
8880003342879;"7896714219301"
7896714219318;"HISTAMIN 0,4MG/ML XPE 100ML"
7897129301513;"HIXIZINE 25MG 30CP"
7897129301506;"HIXIZINE 2MG/ML 120ML"
7891104193353;"HUMECTOL D 5MG+60MG 20CP"
7896006259305;"HYTOS PLUS GTS 15ML"
7896006259701;"HYTOS PLUS XPE 100ML"
7897337707404;"HYZAAR 100MG+25MG 30CP"
7897337709354;"HYZAAR 50MG+12,5MG 30CP"
7896112140931;"IBUPRIL 300MG 20CP"
7896112158363;"IBUPRIL 600MG 20CP"
5702191025620;"ICADEN 10MG/G CR DERM 20GR"
5702191025545;"ICADEN 10MG/ML SOL DERM 30ML"
7896006220534;"APRESOLINA 25MG 20DRG"
7896261018181;"7896006220534"
7896006220510;"APRESOLINA 50MG 20DRG"
7891010256364;"IMOSEC 2MG 12CP"
7896212478750;"7891010256364"
7896070602403;"IMOVANE 7,5MG 20CP (B1)"
7896436901812;"ZZ-INALADOR NS INALAR COMPACT"
0000078911239;"VICK INALADOR 0,5GR (12)"
7896093000217;"0000078911239"
7895858005955;"INDOCID 25MG 30CPS"
7895858005962;"INDOCID 50MG 30CPS"
7896637022316;"INIBINA 10MG 20CP"
7896382700750;"INS HUMALOG 100UI 10ML (GELAD)"
7896382700583;"INS HUMULIN N 100UI/ML 10ML (GELAD)"
7896382700576;"INS HUMULIN R 100UI/ML 10ML (GELAD)"
7891058008116;"ARAVA 20MG 30CP (C1)"
7897705203231;"INS NOVOLIN N 10ML (GELAD) F.POP-GT"
7897705200322;"INS NOVOLIN N PENFIL 3ML C/5FRASCOS (GELAD) *"
7897705203224;"INS NOVOLIN R 100UI/ML 10ML (GELAD) *"
7898029550131;"ARCALION 200MG 60DRG"
7898029550124;"ARCALION 200MG 20DRG"
7896255765619;"IRUXOL MONO 15GR"
7896255763172;"IRUXOL MONO 30GR"
7896255765466;"IRUXOL POM DERM 15GR (AM)"
7896255713368;"IRUXOL POM DERM 30GR (AM)"
7894916550086;"ISORDIL 10MG 30CP"
7894916550031;"ISORDIL 5MG 30CP SL"
7896015513030;"AROPAX 20MG 30CP (C1)"
7898906376656;"KEFLEX 100MG GOTAS 15ML (AM)"
7898906376632;"KEFLEX 1GR 8DRG (AM)"
7898906376663;"KEFLEX 250MG 100ML (AM)"
7898906376618;"KEFLEX 500MG 8DRG (AM)"
7891045005432;"ARTANE 2MG 30CP (B1)"
7896637018012;"7891045005432"
7891045005449;"ARTANE 5MG 30CP (B1)"
7896637018029;"7891045005449"
7891182016421;"KIT CLAREADOR BLONDOR CAMOMILA E MANZANILLA"
7896281152018;"ARTRODAR 50MG 30CPS"
7896658001864;"ARTROSIL 160MG 20CPS"
8880003344668;"7896658001864"
7896658001871;"ARTROSIL 320MG 20CPS"
7896013504856;"KIT EMBELLEZE TOIN FLOFT 400GR (SB)"
7891158042430;"KLARICID 25MG/ML PED 60ML (AM)"
7891158042423;"KLARICID 50MG/ML PED 60ML (AM)"
7891158038860;"KLARICID UD 500MG 7CP (AM)"
7891158028526;"KLARICID UD 500MG 10CP (AM)"
7896676427844;"KOLLAGENASE C/CLORANF 15GR (AM)"
7896676427837;"KOLLAGENASE C/CLORANF 30GR (AM)"
7896676427745;"KOLLAGENASE 0,6U/G POM DERM 30GR"
7897211100208;"GEL KY LUBRIFICANTE 100GR"
7897211100192;"GEL KY LUBRIFICANTE 50GR"
7896637028479;"LABIRIN 16MG 30CP"
7896637028417;"LABIRIN 8MG 30CP"
7897316806791;"LACRIL 14MG/ML 15ML SOL OFT"
0300651418477;"LACRIMA PLUS 1MG+3MG/ML 15ML SOL OFT"
7896548113059;"0300651418477"
7896015593551;"LAMICTAL 100MG 30CP (C1)"
7896269901188;"7896015593551"
7896015593537;"LAMICTAL 25MG 30CP (C1)"
7896269901195;"7896015593537"
7896015593544;"LAMICTAL 50MG 30CP (C1)"
7896269901201;"7896015593544"
7891051015210;"LAMINA WILKINSON 3UN (10)"
6013788000000;"LASIX 10MG/ML 1AMP 2ML (5)"
7891058433086;"6013788000000"
7891058431037;"LASIX 40MG 20CP"
7896026170635;"LAXOL SOLUCAO 60ML"
7898560664335;"LEGALON 90MG 30DRG"
7898560664373;"LEGALON 64MG/5ML SUSP 100ML"
7896235353249;"LOC LIMP LEITE DE COLONIA TRADICIONAL 100ML"
7896235353263;"LOC LIMP LEITE DE COLONIA FINAL FANTASTIC 100ML D"
7896235353287;"LOC LIMP LEITE DE COLONIA TEMPO DE AMAR 100ML"
7896235353256;"LOC LIMP LEITE DE COLONIA TRADICIONAL 200ML"
7896094924758;"LOC LIMP LEITE DE COLONIA TOQUE DE CARINHO 200ML D"
7896235353317;"7896094924758"
7896806700038;"LOC LIMP LEITE DE ROSAS 170ML"
7896806700021;"LOC LIMP LEITE DE ROSAS 100ML"
7896806700014;"LOC LIMP LEITE DE ROSAS 60ML"
7891158100253;"ENSURE 400GR BAUNILHA"
7891158100239;"ENSURE 400GR CHOCOLATE"
7891158000119;"ENSURE 400GR MORANGO"
7891158100277;"ENSURE 400GR BANANA"
7895858015688;"LEITE MAG PHILLIPS 120ML"
7895858015695;"LEITE MAG PHILLIPS 350ML"
7895858015664;"LEITE MAG PHILLIPS HORTELA 120ML"
7895858015671;"LEITE MAG PHILLIPS HORTELA 350ML"
7613034909480;"FORMULA INFANTIL NAN S.L 400GR (0-3 ANOS)"
8445290273758;"7613034909480"
8880003343432;"8445290273758"
7891000056523;"FORMULA INFANTIL NESTOGENO 1 400GR (0-6 MESES)"
7891000056615;"FORMULA INFANTIL NESTOGENO 2 400GR (6-12 MESES)"
7891106001359;"ASPIRINA AD 500MG 10CP (10)"
7891106004213;"7891106001359"
7891106915175;"7891106004213"
7896110011158;"LENCOS KISS 50UN"
7896110011141;"LENCOS KISS DE BOLSO COM 10UN"
7891106000888;"ASPIRINA C 400MG 2CP EFERV (50)"
7891106915151;"7891106000888"
7891106001946;"ASPIRINA PREVENT 100MG 30CP"
7898560665431;"LEPONEX 100MG 30CP (C1)"
7896261002371;"LEPONEX 25MG 20CP (C1)"
7898560665424;"7896261002371"
7896658002403;"LEUCOGEN 20MG/5ML XPE 120ML CARAMELO"
7898581710370;"LEXOTAN 3MG 30CP (B1)"
7898581710363;"LEXOTAN 6MG 30CP (B1)"
7896094200920;"LIBIAM 2,5MG 28CP"
7898040324940;"LIDOSPORIN 10ML (AM)"
7896862992996;"LIMBITROL 12,5MG+5MG 20CPS (B1)"
7896206401146;"ATACAND 16MG 30CP *INTEGRA VIDA*"
7896094922440;"AAS INF 100MG 10CP SANOFI (20) D"
7896206401160;"ATACAND 8MG 30CP *INTEGRA VIDA*"
7897322705415;"LIPANON RETARD 250MG 30CPS"
7891158100901;"LIPIDIL 200MG 30CPS D"
7908236800544;"LIPITOR 10MG 30CP *SE CUIDA*"
7908236800483;"LIPITOR 20MG 30CP *SE CUIDA*"
7896206402082;"ATACAND HCT 16MG+12,5MG 30CP *INTEGRA VIDA*"
7896637022415;"LITOCIT 10MEQ 60CP"
7896637022408;"LITOCIT 5MEQ 60CP"
7897337716253;"LIVIAL 2,5MG 28CP"
7891800000689;"ATA CREMER CREPOM CYSNE 15CMX1,8M"
7891800000696;"ATA CREMER CREPOM CYSNE 20CMX1,8M"
7891800000702;"ATA CREMER CREPOM CYSNE 25CMX1,8M"
7891800806151;"7891800000702"
7891800000719;"ATA CREMER CREPOM CYSNE 30CMX1,8M"
7891800165722;"7891800000719"
7891800000467;"ATA CREMER CREPOM CYSNE 8CMX1,8M"
7891800000658;"7891800000467"
4005808309436;"LOC HIDR NIVEA BODY MILK EXTRASSECA 200ML"
7897930776722;"LOCERYL ESMALTE 2,5ML"
7896016801501;"LUFTAL 40MG 20CP"
7896016804915;"LUFTAL 75MG/ML GOTAS 15ML CEREJA"
7896016804939;"LUFTAL MAX GEL 125MG 10CPS"
7897316804179;"LUMIGAN 0,3MG/ML 3ML SOL OFT"
7896255766715;"LUVOX 100MG 30CP (C1)"
7897000800548;"DESINFETANTE LYSOFORM BRUTO 1LT"
7897322701486;"MAGNOPYROL 500MG/ML GOTAS 10ML"
7897322701493;"MAGNOPYROL 500MG/ML GOTAS 20ML"
7896112127680;"DEXCLORFENIRAMINA 0,4MG/ML 100ML GN TEUTO"
7896112147336;"7896112127680"
7896004700533;"ENALAPRIL 10MG 30CP GN EMS *F.POP-GT*"
7896026170475;"MALVATRICIN PPU 250ML"
7896026170550;"MALVONA SOL BUCAL 100ML"
7897412262606;"7896026170550"
7896026170567;"SOL ANTISSEPTICA BUC MALVONA 200ML D"
7896033221016;"MAMAD LILLO AZUL 50ML (0-3 MESES)"
7896672202308;"MANIVASC 10MG 14CP"
7896672202346;"MANIVASC 10MG 28CP *ACESSAR FUNCIONAL*"
7896672202353;"MANIVASC 20MG 28CP"
7898040320911;"MAREVAN 5MG 10CP"
7896181900122;"ATENOLOL 25MG 30CP GN BIO *F.POP-GT*"
7896714273006;"MASSAGEOL AEROSSOL 120ML"
7896714230054;"MASSAGEOL POMADA 15GR"
7896714230504;"MASSAGEOL POMADA 30GR"
7891045031257;"NESTLE MATERNA 30CP"
7896548198292;"MAXIDEX 1MG/G 3,5GR POM OFT (GELAD)"
7896548111727;"MAXIDEX 1MG/ML 5ML SOL OFT"
7896548111987;"MAXITROL COL 5ML (AM)"
7896548198285;"MAXITROL POM OFT 3,5G (AM) (GELAD)"
7898968453098;"ATENSINA 100MCG 30CP"
7898968453104;"ATENSINA 150MCG 30CP"
7896191226472;"MEIA KENDALL 3/4 MEL M 1672 (M C)"
7896191258497;"MEIA KENDALL 7/8 MEL SIL M 1932 (M C)"
7896191215339;"MEIA KENDALL MASC MAR G 1533 (A C)"
7896191218026;"MEIA KENDALL MASC MAR M 1802(M C)"
7896191218132;"MEIA KENDALL MASC 3/4 PRETA G 1813 (M C)"
7896191218125;"MEIA KENDALL MASC PRETA M 1812 (M C)"
7896023752513;"MELAGRIAO MENTA SPRAY 30ML"
7896023719899;"MELAGRIAO XPE 150ML"
7896094921146;"MELHORAL 500MG+30MG 8CP (25)"
7896862993269;"MELLERIL 100MG 20CP (C1)"
7896862993245;"MELLERIL 25MG 20CP (C1)"
7896862993252;"MELLERIL 50MG 20CP (C1)"
7897595901439;"ATLANSIL 100MG 20CP"
7897595900654;"ATLANSIL 200MG 20CP"
7896202900377;"MERACILINA 12CP (AM)"
7896658005589;"7896202900377"
7897337716307;"MERCILON 21CP"
7897316801130;"ATROPINA 0,5% 5ML SOL OFT"
8880003346211;"7897316801130"
7896094901148;"MERTHIOLATE INC 30ML"
7897316801154;"ATROPINA 1% 5ML SOL OFT"
7891106911337;"MESIGYNA 50MG+5MG/ML 1 AMP INJ 1ML"
7891106916233;"7891106911337"
7893454101569;"MESTINON 60MG 60CP"
7896026307826;"ATROVENT 0,25MG/ML SOL INALATORIA 20ML"
0020800750165;"METAMUCIL 10 SACHES LARANJA"
8880003345924;"0020800750165"
0020800750158;"METAMUCIL 174GR LARANJA"
7897337712576;"METICORTEN 20MG 10CP"
7891142158130;"METICORTEN 5MG 20CP"
7897337712590;"7891142158130"
