EAN,Descricao,Validade,Status,Setor,DataCadastro
7892828001016,Adeforte 1 ampola,2027-07,ativo,GERAL,2026-02-21
7898665434123,Vita D3 vitafor 10ml,2027-09,ativo,GERAL,2026-02-21
7898665434123,Vita D3 vitafor 10ml,2027-09,ativo,GERAL,2026-02-21
7891317029920,Maq premium 30cp,2026-05,ativo,GERAL,2026-02-21
7898430194559,Tentantes 30+30cp,2026-04,ativo,GERAL,2026-02-21
7891317029920,Maq premium 30cp,2025-05,ativo,GERAL,2026-02-21
7891317029920,Maq premium 30cp,2026-05,ativo,GERAL,2026-02-21
7899852022659,PO COMP VULT ULTRAFINO V430,2027-07,ativo,THAIS,2026-03-19
7891010245160,AGUA MICELAR NEUTROGENA PURIFIED 200ML,2027-11,ativo,THAIS,2026-03-19
7896226102603,VITERGAN ZINCO 30CP,2027-11,ativo,VITAMINAS (MARCOS),2026-05-10
7896226109336,VITERGAN ZINCO 60CP,2027-11,ativo,VITAMINAS (MARCOS),2026-05-10
7896226110417,VITERGAN ZINCO D 30CP,2026-08,ativo,VITAMINAS (MARCOS),2026-05-10
7896226110479,VITERGAN ZINCO D 70CP,2026-09,ativo,VITAMINAS (MARCOS),2026-05-10
7896226102801,VITERGAN ZINCO PL 30CP,2027-12,ativo,VITAMINAS (MARCOS),2026-05-10
7896226110431,VITERGAN ZINCO PL D 30CP,2027-06,ativo,VITAMINAS (MARCOS),2026-05-10
7896226109350,VITERGAN ZINCO PL 60CP,2028-01,ativo,VITAMINAS (MARCOS),2026-05-10
7896226110431,VITERGAN ZINCO PL D 30CP,2027-06,ativo,VITAMINAS (MARCOS),2026-05-10
7896226110486,VITERGAN ZINCO PL D 70CP,2027-06,ativo,VITAMINAS (MARCOS),2026-05-10
7896226100067,VITERGAN MASTER N 30CP,2027-03,ativo,VITAMINAS (MARCOS),2026-05-10
7896009498633,CENTRUM ESSENTIALS HOMEM 30CP,2026-09,ativo,VITAMINAS (MARCOS),2026-05-10
7896009498626,CENTRUM ESSENTIALS HOMEM 60CP,2026-10,ativo,VITAMINAS (MARCOS),2026-05-10
7896009498176,CENTRUM SELECT HOMEM 30CP,2027-07,ativo,VITAMINAS (MARCOS),2026-05-10
7896009499012,CENTRUM ESSENCIAL 30CP,2026-10,ativo,VITAMINAS (MARCOS),2026-05-10
7896094926080,VITASAY A-Z HOMEM 30CP,2027-04,ativo,VITAMINAS (MARCOS),2026-05-10
7896094926059,VITASAY A-Z MULHER 30CP,2027-10,ativo,VITAMINAS (MARCOS),2026-05-10
7891317029982,QUELATUS 30CP,2027-07,ativo,VITAMINAS (MARCOS),2026-05-10
7891317030001,QUELATUS SENIOR 30CP,2027-07,ativo,VITAMINAS (MARCOS),2026-05-10
7891317029951,MAQ SENIOR 30CP,2027-05,ativo,VITAMINAS (MARCOS),2026-05-10
7891317029968,MAQ SENIOR 60CPS,2027-05,ativo,VITAMINAS (MARCOS),2026-05-10
